estado,nombre,numero,presidente,direccion
Puebla,Lic. Francisco Javier Lara Mendoza ,1,False,Avenida 29 Oriente número 2017 Colonia Fraccionamiento El Mirador Puebla Puebla 72540 
Puebla,Lic. Alejandro Tinoco Cabrera ,2,False,Avenida 31 Poniente 719 – 2 Colonia Chula Vista Puebla Puebla 72420 
Puebla,Lic. Carlos González Barra ,3,False,"Calle Segunda de Morelos número 308, despacho 101 Colonia Centro Tehuacán Puebla 75700 "
Puebla,Lic. Rubén Alejandro Lara Limón ,4,False,"Avenida 29 Oriente número 2017, interior 201 Colonia El Mirador Puebla Puebla 72540 "
Puebla,Lic. Silvestre Bringas Olmedo ,5,False,"Calle Segunda de Morelos número 308, despacho 104 Colonia Centro Tehuacán Puebla 75700 "
Puebla,Lic. Ricardo Vila Esponda ,8,False,"Calzada Zavaleta número 1306, despacho 133, Plaza Solé Zavaleta Colonia Santa Cruz Buenavista Puebla Puebla 72154 "
Puebla,Dr. Manuel Enrique Díaz y Pérez ,9,False,Calle Privada de la 5B Sur número 4101 Colonia Gabriel Pastor Puebla Puebla 72420 
Puebla,Lic. Orlando Flores Rodríguez ,10,False,Avenida treinta y nueve oriente No. 19 Colonia Carmen Huexotitla Puebla Puebla 72534 
Puebla,Lic. Carlos Manuel Lemini Ávila Parra ,11,False,Calle Chietla número 908 Colonia La Paz Puebla Puebla 72160 
Oaxaca,Lic. Enrique López Salinas ,3,True,"Calle Cocotillo número 326, Sector Colonia La Crucecita Bahias de Huatulco Oaxaca 70989 "
Oaxaca,Lic. Marcial Pérez Hernández ,1,False,Calle Reforma número 528 A – 3 Colonia Zona Centro Oaxaca Oaxaca 68000 
Oaxaca,Lic. Zenón López López ,2,False,Calzada de la República 311 Colonia Centro Oaxaca Oaxaca 68000 
Oaxaca,Lic. Virginia González Cedillo ,4,False,Calzada de la Republica número 311 Colonia Centro Oaxaca Oaxaca 68000 
Oaxaca,Lic. Gabriel Adolfo Vargas Rozados ,5,False,"Calle Rafael Osuna Número 110, Colonia Olómpica Oaxaca Oaxaca 68020 "
Nuevo León,Lic. Lilian Jauregui Salinas ,23,True,"Avenida Lázaro Cárdenas No. 216, interior 1 – A Colonia Residencial San Agustón San Pedro Garza García Nuevo León 66260 "
Nuevo León,Mtra. Maria Guadalupe Blásquez Ortíz ,27,True,Sacramento No. 101 Colonia Mitras Centro Monterrey Nuevo León 64460 
Nuevo León,Lic. Patricio Eugenio Galván Salinas ,1,False,Hidalgo número 1208 A Pte. Colonia Centro Monterrey Nuevo León 64000 
Nuevo León,Lic. Modesto Mata Torres ,6,False,Calle América No. 210 Sur (entre las calles de Washington y Modesto Arreola) Colonia Centro Monterrey Nuevo León 64000 
Nuevo León,Lic. José Carlos Reyes Cadena ,7,False,"Av. Lázaro Cárdenas No. 216, 5o piso Colonia Fraccionamiento Residencial San Agustín San Pedro Garza García Nuevo León 66260 work"
Nuevo León,Lic. Elias Martínez Treviño ,11,False,"Calle Albino Espinosa Poniente, No. 1821, Locales 2 y 4 Colonia Centro Monterrey Nuevo León 64000 "
Nuevo León,Lic. Gerardo Maldonado García ,12,False,Calle Róo Amacuzac No. 901 Colonia Valle Oriente San Pedro Garza García Nuevo León 66269 
Nuevo León,Mtro. Gustavo Escamilla Flores ,13,False,"Calle Dr. José Luna Ayala No. 204, Edificio Torre Galeróas, Segundo Piso, Interior A Colonia San Jerónimo Monterrey Nuevo León 64640 "
Nuevo León,Lic. Rodrigo Verástegui Soria ,14,False,Calle Matamoros número 1137 Poniente Colonia Centro Monterrey Nuevo León 64000 work
Nuevo León,Lic. José Andrés Garza Tamez ,15,False,"Calle José T. Villagómez número 332 Sur, entre Washington y 5 de mayo Colonia Centro Monterrey Nuevo León 64000 "
Nuevo León,Lic. Diana Graciela Rodríguez Treviño ,16,False,"AV. Lázaro Cárdenas No. 216, 5o piso Colonia Fraccionamiento Residencial San Agustín San Pedro Garza García Nuevo León 66260 "
Nuevo León,Lic. Javier Enrique González Alcántara Lutteroth ,17,False,Av. Alfonso Reyes No. 11 Piso 2 Interior 1 Col. Residencial Cordillera Santa Catarina Nuevo León 66196 
Nuevo León,Lic. José María González Elizondo ,18,False,Con licencia de separación
Nuevo León,Lic. Francisco Javier Lozano Medina ,19,False,Con licencia de separación
Nuevo León,Lic. José Enrique Guzmán Quiroga ,20,False,Vía Savotino número 213 Colonia Fuentes del Valle San Pedro Garza García Nuevo León 66220 
Nuevo León,Lic. Rodrigo Ernesto Barahona Iglesias ,21,False,Calle Abasolo No. 1027 Oriente Colonia Barrio Antiguo Monterrey Nuevo León 64000 
Nuevo León,Lic. Eva Margarita Gómez Tamez ,22,False,Calle Hidalgo número 104 Sur Colonia Centro Allende Nuevo León 67350 
Nuevo León,Lic. Moisés González Santillán ,24,False,"José Clemente Orozco No. 335, Torre Novo, piso 3, Oficina 306. Colonia Valle Oriente San Pedro Garza García Nuevo León 66269 "
